PI;Difference;Error;Ntot;AvailableProcessors;TimeDuration(ms);
3,141620;0,000027;0,000009;1600000000;16;3176;
3,141639;0,000047;0,000015;1600000000;32;2170;
3,141617;0,000024;0,000008;1600000000;32;2205;
3,141664;0,000071;0,000023;1600000000;32;2188;
3,141587;-0,000006;0,000002;1600000000;32;2164;
3,141564;-0,000029;0,000009;1600000000;32;2198;
3,141639;0,000047;0,000015;1600000000;32;2170;
3,141617;0,000024;0,000008;1600000000;32;2205;
3,141664;0,000071;0,000023;1600000000;32;2188;
3,141587;-0,000006;0,000002;1600000000;32;2164;
3,141564;-0,000029;0,000009;1600000000;32;2198;
3,141583;-0,000010;0,000003;1600000000;64;2229;
3,141622;0,000030;0,000009;1600000000;64;2531;
3,141584;-0,000009;0,000003;1600000000;64;2485;
3,141540;-0,000052;0,000017;1600000000;64;2074;
3,141653;0,000061;0,000019;1600000000;64;2413;
3,141583;-0,000010;0,000003;1600000000;64;2229;
3,141622;0,000030;0,000009;1600000000;64;2531;
3,141584;-0,000009;0,000003;1600000000;64;2485;
3,141540;-0,000052;0,000017;1600000000;64;2074;
3,141653;0,000061;0,000019;1600000000;64;2413;

